[19:05:07][Info]: Remember! Quit the server by using 'Control + C' so a backup is properly made before closing!
[19:05:07][LMP]: Luna Server version: 0.29.0 (C:\Servertest\LMPServer 1\LMPServer\)
[19:05:07][Debug]: Loading universe... 0,639KB
[19:05:07][Debug]: Loading groups...
[19:05:07][Debug]: Loading settings...
[19:05:07][Debug]: Loading mod control...
[19:05:08][Debug]: Loading plugins...
[19:05:08][LMP]: Starting 'ZZZwefly' on Address 0.0.0.0 Port 8800... 
[19:09:51][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:52][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:54][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:56][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:59][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:01][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:03][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:04][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:07][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:08][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:10][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:12][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:14][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:16][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:19][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:21][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:23][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:26][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:27][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:29][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:31][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:33][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:36][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:38][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:39][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:41][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:43][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:45][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:48][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:49][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:51][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:53][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:55][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:58][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:10:59][LMP]: New client Connection from 26.81.224.97:56081
[19:10:59][Debug]: Online Players: 0, connected: 1
[19:10:59][LMP]: Client Micro (5a28149e05bbb606218cda91304c52d174729190) handshake successfully, Version: 0.29.0
[19:10:59][Debug]: Online Players: 1, connected: 1
[19:10:59][Debug]: Sending Micro 24 vessels
[19:10:59][Debug]: Sending Micro 38 kerbals...
[19:11:00][Debug]: Sending Micro 1 possible subspaces
[19:11:08][Debug]: Saving kerbal Jebediah Kerman from Micro
[19:11:08][Debug]: Saving kerbal Bill Kerman from Micro
[19:11:08][Debug]: Saving kerbal Bob Kerman from Micro
[19:11:08][Debug]: Saving kerbal Valentina Kerman from Micro
[19:11:08][Debug]: Saving kerbal Mito Kerman from Micro
[19:11:08][Debug]: Saving kerbal Fergas Kerman from Micro
[19:11:08][Debug]: Saving kerbal Malbrett Kerman from Micro
[19:11:08][Debug]: Saving kerbal Kavan Kerman from Micro
[19:11:08][Debug]: Saving kerbal Irpont Kerman from Micro
[19:11:08][Debug]: Saving kerbal Sigun Kerman from Micro
[19:11:08][Debug]: Saving kerbal Kenmy Kerman from Micro
[19:11:08][Debug]: Saving kerbal Gigun Kerman from Micro
[19:11:08][Debug]: Saving kerbal Miing Kerman from Micro
[19:11:08][Debug]: Saving kerbal Kalin Kerman from Micro
[19:11:08][Debug]: Saving kerbal Gledas Kerman from Micro
[19:11:08][Debug]: Saving kerbal Malfry Kerman from Micro
[19:11:09][Debug]: Sending 1 screenshot folders to: Micro
[19:11:09][Debug]: Sending 2 craft folders to: Micro
[19:11:09][Debug]: Saving kerbal Mito Kerman from Micro
